channel_name,subscribers,category,views_counts,video_count,started_year,revenue
Examà¤ªà¥à¤°,11100000,Education,1758881581,65510,2016,43972040.0
News18 Rajasthan,5100000,News & Politics,1758578645,135800,2011,43964466.0
Hindi Kahaniya Funny Comedy Stories,5330000,Entertainment,1758013273,429,2017,43950332.0
MostTechy Shorts,3330000,People & Blogs,1756026326,439,2019,43900658.0
VATS RECORDS,4270000,Music,1755814753,152,2019,43895369.0
TIMES NOW,3790000,News & Politics,1755498165,93289,2008,43887454.0
Meshwa Films,4680000,Music,1752837393,1310,2017,43820935.0
Indu's Kitchen,2390000,People & Blogs,1752384118,1326,2021,43809603.0
BANG Music,4940000,Music,1751719255,87,2019,43792981.0
Kapil Sharma,8670000,Entertainment,1745572721,280,2017,43639318.0
Always Arya,3000000,Entertainment,1741399518,866,2017,43534988.0
Lotus Music,14500000,,1739129375,515,2021,43478234.0
Wanderers Hub Shorts,3560000,Entertainment,1738231229,749,2021,43455781.0
Sharma Sisters,3050000,People & Blogs,1738206592,567,2019,43455165.0
Bhajan India,8680000,Music,1735789720,4163,2014,43394743.0
Mini Foodkey,3340000,Howto & Style,1732358867,113,2017,43308972.0
News18 Kannada,3040000,News & Politics,1724858559,125792,2017,43121464.0
Hmm!,2420000,Travel & Events,1721419375,1581,2012,43035484.0
Jigar Studio,3910000,Music,1716396471,850,2012,42909912.0
NRFMVLOGS,3380000,Entertainment,1715532514,789,2021,42888313.0
Wow Kidz Indonesia,3420000,Film & Animation,1713039119,2035,2017,42825978.0
Junglee Music Telugu,4210000,Entertainment,1711754730,2310,2012,42793868.0
Science and fun,5720000,Science & Technology,1710746826,467,2013,42768671.0
Bala Kirthi,2660000,People & Blogs,1708251959,483,2012,42706299.0
LOKESH GAMER,15500000,Gaming,1695623459,1506,2017,42390586.0
Ssoftoons Animation,5460000,Film & Animation,1695000960,366,2015,42375024.0
Rajlaxmi,5150000,Music,1691258268,102,2017,42281457.0
Mankirat Aulakh,4940000,Music,1690372106,233,2015,42259303.0
journalist sai,783000,News & Politics,1687456731,87452,2016,42186418.0
Mampi. Rahul,2230000,Entertainment,1684286399,1617,2015,42107160.0
Its rahil Khan 05,7290000,Film & Animation,1664837403,744,2018,41620935.0
SWAPNA TV,2920000,,1664586155,347,2018,41614654.0
Wonder Of Stories,4050000,,1664417129,337,2019,41610428.0
TV9 Telugu Digital,1660000,News & Politics,1663769024,54091,2017,41594226.0
Velujazz official,2700000,People & Blogs,1658345526,370,2012,41458638.0
Saregama Karaoke,4610000,Music,1648812984,3432,2008,41220325.0
BiscootTV,2990000,Entertainment,1645827857,32676,2013,41145696.0
Sona Singh,4420000,People & Blogs,1643327131,647,2022,41083178.0
Karikku,9090000,Comedy,1642882548,158,2016,41072064.0
Hombale Films,4510000,Entertainment,1642846577,788,2013,41071164.0
Tips Punjabi,3440000,Music,1640042756,891,2015,41001069.0
Swad official,2250000,People & Blogs,1638871348,1541,2018,40971784.0
