channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Onespot Gaming
    ","3,470,000",Gaming,"1,497,906,895",Gaming,2016,836
"
Hairstyle Tutorial
    ","1,330,000",Education,"1,496,319,128",Education,2020,837
"
Resty kamboj
    ","1,580,000",Entertainment,"1,491,985,663",Entertainment,2014,838
"
Rkholic teena
    ","3,770,000",People & Blogs,"1,489,601,415",People & Blogs,2022,839
"
API Tamil Songs
    ","2,270,000",Entertainment,"1,489,236,567",Entertainment,2012,840
"
IMR Films
    ","3,340,000",Entertainment,"1,488,293,936",Entertainment,2014,841
"
Sarkari Foodie
    ","1,480,000",People & Blogs,"1,485,925,443",People & Blogs,2022,842
"
Vismai Food
    ","3,810,000",Howto & Style,"1,482,075,727",Howto & Style,2016,843
"
Filmy Crazy
    ","3,470,000",Entertainment,"1,481,408,095",Entertainment,2018,844
"
Galatta Pink
    ","1,710,000",Entertainment,"1,480,799,242",Entertainment,2021,845
"
Danish5star
    ","2,960,000",People & Blogs,"1,480,750,410",People & Blogs,2019,846
"
Kannada Super Scenes
    ","2,580,000",People & Blogs,"1,479,787,644",People & Blogs,2015,847
"
Sanjeev Kapoor Khazana 
    ","7,370,000",Howto & Style,"1,478,655,587",Howto & Style,2009,848
"
ALBUM CREATIONS
    ","3,070,000",Entertainment,"1,478,290,291",Entertainment,2017,849
"
Pebbles live
    ","4,800,000",Education,"1,477,118,162",Education,2013,850
"
News18 Odia
    ","2,560,000",News & Politics,"1,472,051,534",News & Politics,2015,851
"
BR Bhai
    ","3,490,000",Entertainment,"1,471,032,326",Entertainment,2016,852
"
Spice ASMR
    ","3,750,000",Entertainment,"1,468,012,097",Entertainment,2017,853
"
shravani's kitchen
    ","4,060,000",Howto & Style,"1,466,902,043",Howto & Style,2016,854
"
UnGraduate Gamer
    ","8,100,000",Gaming,"1,461,411,794",Gaming,2018,855
"
Dear Sir
    ","16,600,000",Education,"1,460,022,376",Education,2016,856
"
satyamvideos
    ","1,990,000",Music,"1,459,660,074",Music,2013,857
"
Jagriti Vishali Shorts
    ","2,010,000",Entertainment,"1,457,142,986",Entertainment,2020,858
"
SGV Digital - Kannada Full Movies
    ","3,880,000",Entertainment,"1,453,363,899",Entertainment,2015,859
"
Naveen Ricky
    ","2,180,000",People & Blogs,"1,452,111,127",People & Blogs,2020,860
"
chatpat toy tv
    ","5,630,000",,"1,447,581,743",,2019,861
"
DRJ Records Movies 
    ","9,570,000",Film & Animation,"1,446,223,736",Film & Animation,2015,862
"
MX Player
    ","3,730,000",Entertainment,"1,446,188,314",Entertainment,2011,863
"
Sidharth Music
    ","3,440,000",Entertainment,"1,444,126,784",Entertainment,2016,864
"
HooplaKidz TV - Funny Cartoons For Kids
    ","3,800,000",Education,"1,440,206,024",Education,2012,865
"
Pocket Films
    ","3,750,000",Film & Animation,"1,430,088,105",Film & Animation,2009,866
"
Maahi Queen
    ","4,490,000",Entertainment,"1,428,778,649",Entertainment,2016,867
"
Prasadtechintelugu
    ","4,250,000",Science & Technology,"1,428,205,264",Science & Technology,2015,868
"
Shree Jee - Bhakti
    ","6,530,000",Music,"1,428,186,695",Music,2016,869
"
Flyingmeenaboi
    ","4,150,000",,"1,426,700,580",,2013,870
"
DRJ Records Zest
    ","8,650,000",Entertainment,"1,426,613,215",Entertainment,2017,871
"
Zee Bihar Jharkhand
    ","4,250,000",News & Politics,"1,415,394,271",News & Politics,2014,872
"
Rhythm Boyz
    ","3,100,000",Music,"1,413,941,505",Music,2015,873
"
TsMadaan
    ","12,000,000",Howto & Style,"1,413,337,704",Howto & Style,2008,874
